0.42824672	0.98717606	1        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.10961733	0.51682477	2        1.162717e+01        2.810921e-02        1.877890e-02       -1.877890e-02       -1.538639e+00       -4.613610e-01       -1.269916e+00        6.394659e-01       -8.085555e-01
0.54039331	0.98948611	3        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.82041404	0.63337813	4        1.196639e+01        6.938845e-01       -2.236569e-01        2.236569e-01       -1.743775e+00       -2.562249e-01       -9.796308e-01        5.764714e-01       -7.234059e-01
0.74141550	0.25460732	5        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.70721311	0.29116643	6        1.165584e+01       -4.527123e-01       -4.091146e-02        4.091146e-02       -7.920278e-01       -1.207972e+00       -1.449446e+00        1.882371e-02       -2.414740e-01
0.91514908	0.96261435	7        1.199271e+01        1.412626e+00        3.148427e-02       -3.148427e-02       -2.574983e-01       -1.742502e+00       -1.919326e+00        3.109050e-01       -1.768238e-01
0.83776087	0.97643206	8        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.46379366	0.33279381	9        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.00255475	0.74199216	10        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.80529880	0.50286954	11        1.236744e+01       -5.248551e-01        3.553791e-01       -3.553791e-01       -1.150324e+00       -8.496759e-01       -1.544325e+00        3.253490e-01       -6.946491e-01
0.57507237	0.03674914	12        1.082570e+01        1.914280e-01       -5.478776e-02        5.478776e-02       -9.768959e-01       -1.023104e+00       -1.635422e+00        9.485289e-02       -6.123177e-01
0.74207183	0.64747882	13        1.119234e+01        6.632454e-02       -4.299499e-01        4.299499e-01       -1.522619e+00       -4.773814e-01       -1.406328e+00        7.107412e-01       -9.289464e-01
0.39515104	0.74237663	14        1.162118e+01        1.111380e-01        9.429846e-02       -9.429846e-02       -1.587476e+00       -4.125240e-01       -6.667618e-01        5.140323e-01       -2.542379e-01
0.60066852	0.76202094	15        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.08437282	0.72985998	16        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.41091880	0.95355203	17        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.63878688	0.54218760	18        1.143740e+01        7.857136e-02       -4.933671e-01        4.933671e-01       -1.692186e+00       -3.078139e-01       -9.935446e-01        3.466788e-01       -6.857307e-01
0.24292995	0.86296988	19        1.067086e+01        1.970924e-01       -1.756446e-02        1.756446e-02       -8.279427e-01       -1.172057e+00       -1.275877e+00        7.243227e-01       -1.038194e-01
0.33149099	0.51180764	20        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.12431392	0.25629447	21        1.157174e+01        4.566872e-01        5.341199e-01       -5.341199e-01       -4.791329e-01       -1.520867e+00       -1.554242e+00        8.061522e-01       -3.337521e-02
0.71643346	0.44433390	22        1.123170e+01       -2.704313e-02        3.690639e-01       -3.690639e-01       -2.153075e+00        1.530750e-01       -6.378207e-01       -5.948408e-01       -7.908957e-01
0.13529094	0.43691470	23        1.131535e+01        2.323686e-01        2.076617e-02       -2.076617e-02       -6.595306e-01       -1.340469e+00       -1.714091e+00        7.693898e-02       -3.736219e-01
0.83453594	0.75171870	24        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.81398468	0.67829806	25        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.23389053	0.13238658	26        1.114537e+01       -1.168836e-01        1.257794e-01       -1.257794e-01       -8.448335e-01       -1.155166e+00       -1.533569e+00       -2.447059e-01       -3.784030e-01
0.35500332	0.92442973	27        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.97117244	0.02155249	28        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.55175406	0.18805833	29        1.144946e+01       -3.505321e-01       -3.605794e-02        3.605794e-02       -6.661006e-01       -1.333899e+00       -1.100843e+00        6.595611e-01        2.330565e-01
0.68521126	0.02675876	30        1.122209e+01        7.423450e-01       -6.009828e-02        6.009828e-02       -8.038610e-01       -1.196139e+00       -1.588420e+00        3.619914e-01       -3.922814e-01
0.11534918	0.24644978	31        1.159382e+01       -9.011178e-02       -5.589848e-02        5.589848e-02       -1.177583e+00       -8.224173e-01       -1.511735e+00        5.142066e-01       -6.893182e-01
0.57149876	0.70675241	32        1.079346e+01       -2.212884e-01        2.676709e-01       -2.676709e-01       -2.191397e+00        1.913968e-01       -1.101526e+00       -6.977787e-02       -1.292922e+00
0.66234037	0.61082285	33        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.39344127	0.68659212	34        1.176986e+01        6.286963e-01        2.337180e-01       -2.337180e-01       -1.445350e+00       -5.546504e-01       -1.524353e+00       -1.820947e-01       -9.697030e-01
0.10463366	0.72598870	35        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.65592030	0.56777669	36        1.138062e+01        7.713098e-01       -2.078675e-01        2.078675e-01       -1.375747e+00       -6.242535e-01       -1.458998e+00       -5.493281e-01       -8.347447e-01
0.01452676	0.48368992	37        1.076923e+01        2.145005e-01        2.056328e-01       -2.056328e-01       -7.512827e-01       -1.248717e+00       -1.083059e+00        2.620680e-01        1.656583e-01
0.52724013	0.46834171	38        1.142841e+01       -6.635365e-01       -8.061616e-02        8.061616e-02       -1.295614e+00       -7.043865e-01       -1.017332e+00        4.141447e-01       -3.129452e-01
0.42200783	0.31691941	39        1.093334e+01        5.689385e-01        2.110449e-01       -2.110449e-01       -1.120221e+00       -8.797791e-01       -1.456737e+00       -2.618757e-01       -5.769583e-01
0.45356850	0.47868870	40        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
0.46311129	0.35421160	41        1.118377e+01       -2.991088e-02        2.524815e-01       -2.524815e-01       -8.483550e-01       -1.151645e+00       -1.008470e+00        3.898839e-01        1.431747e-01
0.89366404	0.48412173	42        1.226938e+01       -1.147836e+00        4.620288e-02       -4.620288e-02       -1.950093e+00       -4.990692e-02       -1.121465e+00       -4.342635e-02       -1.071558e+00
0.76842557	0.25855474	43        1.149995e+01       -2.432772e-01        4.839047e-01       -4.839047e-01       -1.026635e+00       -9.733646e-01       -1.688732e+00       -2.907879e-01       -7.153669e-01
0.81037897	0.59060971	44        1.188483e+01        9.607375e-01       -2.574011e-01        2.574011e-01       -1.274591e+00       -7.254089e-01       -1.501017e+00        4.148181e-01       -7.756080e-01
0.82741776	0.93113772	45        1.259562e+01       -5.511881e-01        2.853960e-01       -2.853960e-01       -4.144365e-01       -1.585563e+00       -1.775177e+00        5.851681e-01       -1.896134e-01
